date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:19:24	282/282	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2016%20Sep%202020%2023:19:22%20GMT	http://bruselas.ceisufro.cl/robots.txt		(from )
20:19:25	17603/17603	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20Sep%202020%2023:19:22%20GMT	http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/	C:/Users/JAVIER/Desktop/paginavalorant/bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/index.html	(from )
20:19:25	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2247e-5ad5e463c6234%22	http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/Icons/favicon.ico	C:/Users/JAVIER/Desktop/paginavalorant/bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/Icons/favicon.ico	(from http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/)
20:19:25	51284/51284	---M-Z	200	added ('OK')	text/css	etag:%22c854-5ad5e463c5294-gzip%22	http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/Css/ionicons.min.css?1597995300	C:/Users/JAVIER/Desktop/paginavalorant/bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/Css/ionicons.mind9dc.css	(from http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/)
20:19:25	183383/183383	---M-Z	200	added ('OK')	text/css	etag:%222cc57-5ad5e4a58805f-gzip%22	http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3temp/assets/bootstrappackage/lessphp_594286df7ff4fe903f450f748726cc0ea3fb2cd5.css?1597995369	C:/Users/JAVIER/Desktop/paginavalorant/bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3temp/assets/bootstrappackage/lessphp_594286df7ff4fe903f450f748726cc0ea3fb2cd51e74.css	(from http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/)
20:19:26	289/289	---M-Z	200	added ('OK')	application/javascript	etag:%22121-5ad5e463d8b14-gzip%22	http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/JavaScript/Dist/windowsphone-viewportfix.min.js?1597995300	C:/Users/JAVIER/Desktop/paginavalorant/bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/JavaScript/Dist/windowsphone-viewportfix.mind9dc.js	(from http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/)
20:19:27	17503/17503	---M-Z	200	added ('OK')	application/javascript	etag:%22445f-5ad5e463d8b14-gzip%22	http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/JavaScript/Dist/modernizr.min.js?1597995300	C:/Users/JAVIER/Desktop/paginavalorant/bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/JavaScript/Dist/modernizr.mind9dc.js	(from http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/)
20:19:27	15110/15110	---M-Z	200	added ('OK')	application/javascript	etag:%223b06-5ac4e23bcbddc-gzip%22	http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3/sysext/rsaauth/Resources/Public/JavaScript/RsaEncryptionWithLib.min.js?1596826490	C:/Users/JAVIER/Desktop/paginavalorant/bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3/sysext/rsaauth/Resources/Public/JavaScript/RsaEncryptionWithLib.mina483.js	(from http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/)
20:19:27	17603/17603	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20Sep%202020%2023:19:25%20GMT	http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/index.php?id=1	C:/Users/JAVIER/Desktop/paginavalorant/bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/index681a.html	(from http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/)
20:19:27	5514/5514	---M--	200	added ('OK')	image/svg+xml	etag:%22158a-5ad5e465aa829%22	http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/fileadmin/introduction/images/introduction-package.svg	C:/Users/JAVIER/Desktop/paginavalorant/bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/fileadmin/introduction/images/introduction-package.svg	(from http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/)
